Date,OAT,HWST,HWRT,HWDP,HWDPSPT,P1VFD,P2VFD
16-Feb-19 3:45:02 AM CST,nan,nan,169,nan,nan,nan,nan
16-Feb-19 3:45:02 AM CST,nan,nan,nan,10.08,nan,nan,nan
16-Feb-19 3:45:02 AM CST,nan,nan,nan,nan,nan,71.13,nan
16-Feb-19 3:45:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 3:45:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 3:45:03 AM CST,12.6,nan,nan,nan,nan,nan,nan
16-Feb-19 4:00:02 AM CST,nan,169,nan,nan,nan,nan,nan
16-Feb-19 4:00:02 AM CST,nan,nan,168,nan,nan,nan,nan
16-Feb-19 4:00:02 AM CST,nan,nan,nan,9.98,nan,nan,nan
16-Feb-19 4:00:02 AM CST,nan,nan,nan,nan,nan,71.69,nan
16-Feb-19 4:00:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 4:00:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 4:00:03 AM CST,13,nan,nan,nan,nan,nan,nan
16-Feb-19 4:15:02 AM CST,nan,168,nan,nan,nan,nan,nan
16-Feb-19 4:15:02 AM CST,nan,nan,167,nan,nan,nan,nan
16-Feb-19 4:15:02 AM CST,nan,nan,nan,9.99,nan,nan,nan
16-Feb-19 4:15:02 AM CST,nan,nan,nan,nan,nan,71.82,nan
16-Feb-19 4:15:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 4:15:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 4:15:03 AM CST,13.9,nan,nan,nan,nan,nan,nan
16-Feb-19 4:30:03 AM CST,nan,166,nan,nan,nan,nan,nan
16-Feb-19 4:30:03 AM CST,nan,nan,166,nan,nan,nan,nan
16-Feb-19 4:30:03 AM CST,nan,nan,nan,9.92,nan,nan,nan
16-Feb-19 4:30:03 AM CST,nan,nan,nan,nan,nan,72.35,nan
16-Feb-19 4:30:03 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 4:30:03 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 4:30:04 AM CST,13.5,nan,nan,nan,nan,nan,nan
16-Feb-19 4:45:02 AM CST,nan,166,nan,nan,nan,nan,nan
16-Feb-19 4:45:02 AM CST,nan,nan,165,nan,nan,nan,nan
16-Feb-19 4:45:02 AM CST,nan,nan,nan,9.93,nan,nan,nan
16-Feb-19 4:45:02 AM CST,nan,nan,nan,nan,nan,72.51,nan
16-Feb-19 4:45:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 4:45:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 4:45:03 AM CST,13,nan,nan,nan,nan,nan,nan
16-Feb-19 5:00:02 AM CST,nan,169,nan,nan,nan,nan,nan
16-Feb-19 5:00:02 AM CST,nan,nan,167,nan,nan,nan,nan
16-Feb-19 5:00:02 AM CST,nan,nan,nan,9.98,nan,nan,nan
16-Feb-19 5:00:02 AM CST,nan,nan,nan,nan,nan,72.24,nan
16-Feb-19 5:00:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 5:00:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 5:00:03 AM CST,13,nan,nan,nan,nan,nan,nan
16-Feb-19 5:15:02 AM CST,nan,169,nan,nan,nan,nan,nan
16-Feb-19 5:15:02 AM CST,nan,nan,168,nan,nan,nan,nan
16-Feb-19 5:15:02 AM CST,nan,nan,nan,10.01,nan,nan,nan
16-Feb-19 5:15:02 AM CST,nan,nan,nan,nan,nan,71.45,nan
16-Feb-19 5:15:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 5:15:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 5:15:03 AM CST,13,nan,nan,nan,nan,nan,nan
16-Feb-19 5:30:03 AM CST,nan,168,nan,nan,nan,nan,nan
16-Feb-19 5:30:03 AM CST,nan,nan,168,nan,nan,nan,nan
16-Feb-19 5:30:03 AM CST,nan,nan,nan,9.93,nan,nan,nan
16-Feb-19 5:30:03 AM CST,nan,nan,nan,nan,nan,72.11,nan
16-Feb-19 5:30:03 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 5:30:03 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 5:30:03 AM CST,13.4,nan,nan,nan,nan,nan,nan
16-Feb-19 5:45:02 AM CST,nan,166,nan,nan,nan,nan,nan
16-Feb-19 5:45:02 AM CST,nan,nan,165,nan,nan,nan,nan
16-Feb-19 5:45:02 AM CST,nan,nan,nan,9.95,nan,nan,nan
16-Feb-19 5:45:02 AM CST,nan,nan,nan,nan,nan,72.3,nan
16-Feb-19 5:45:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 5:45:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 5:45:03 AM CST,13.3,nan,nan,nan,nan,nan,nan
16-Feb-19 6:00:02 AM CST,nan,170,nan,nan,nan,nan,nan
16-Feb-19 6:00:02 AM CST,nan,nan,168,nan,nan,nan,nan
16-Feb-19 6:00:02 AM CST,nan,nan,nan,10.06,nan,nan,nan
16-Feb-19 6:00:02 AM CST,nan,nan,nan,nan,nan,71.83,nan
16-Feb-19 6:00:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 6:00:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 6:00:03 AM CST,13.1,nan,nan,nan,nan,nan,nan
16-Feb-19 6:15:02 AM CST,nan,169,nan,nan,nan,nan,nan
16-Feb-19 6:15:02 AM CST,nan,nan,168,nan,nan,nan,nan
16-Feb-19 6:15:02 AM CST,nan,nan,nan,10.05,nan,nan,nan
16-Feb-19 6:15:02 AM CST,nan,nan,nan,nan,nan,71.29,nan
16-Feb-19 6:15:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 6:15:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 6:15:03 AM CST,13.8,nan,nan,nan,nan,nan,nan
16-Feb-19 6:30:02 AM CST,nan,167,nan,nan,nan,nan,nan
16-Feb-19 6:30:02 AM CST,nan,nan,167,nan,nan,nan,nan
16-Feb-19 6:30:02 AM CST,nan,nan,nan,9.96,nan,nan,nan
16-Feb-19 6:30:02 AM CST,nan,nan,nan,nan,nan,71.85,nan
16-Feb-19 6:30:02 AM CST,nan,nan,nan,nan,nan,nan,0
16-Feb-19 6:30:02 AM CST,nan,nan,nan,nan,10,nan,nan
16-Feb-19 6:30:03 AM CST,13.5,nan,nan,nan,nan,nan,nan
16-Feb-19 6:45:02 AM CST,nan,167,nan,nan,nan,nan,nan
16-Feb-19 6:45:02 AM CST,nan,nan,166,nan,nan,nan,nan
16-Feb-19 6:45:02 AM CST,nan,nan,nan,10.06,nan,nan,nan
16-Feb-19 6:45:02 AM CST,nan,nan,nan,nan,nan,71.29,nan
16-Feb-19 6:45:02 AM CST,nan,nan,nan,nan,nan,nan,0
